Brand,Display,Battery,Camera_Score,RAM,ROM,Price
itel,2.4,2500.0,3.0,8.0,8.0,1576.73
SAMSUNG,6.6,4500.0,82.0,8.0,128.0,29606.08
vivo,6.44,5000.0,70.0,6.0,128.0,15789.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14579.191666666668
vivo,6.58,5000.0,68.0,4.0,128.0,17103.26
MarQ,2.4,3000.0,3.0,32.0,32.0,1580.8880000000001
POCO,6.6,5000.0,74.0,6.0,128.0,15694.0
REDMI,6.53,5000.0,13.0,6.0,128.0,11902.66
realme,6.72,5000.0,126.0,8.0,128.0,19949.0
REDMI,6.6,5080.0,90.0,8.0,256.0,24926.158333333336
REDMI,6.6,5000.0,50.0,8.0,128.0,17861.02
vivo,6.51,5000.0,20.0,4.0,64.0,11420.152857142855
MOTOROLA,6.67,4610.0,322.0,12.0,256.0,41475.49
IQOO,6.68,5000.0,50.0,4.0,64.0,9220.046
realme,6.5,5000.0,13.0,3.0,32.0,7008.725333333335
POCO,6.67,5000.0,90.0,8.0,256.0,27809.0
REDMI,6.5,6000.0,50.0,4.0,64.0,9203.050000000003
Kechaoda,2.4,1700.0,3.0,32.0,64.0,1257.3076666666666
Infinix,6.6,5000.0,13.0,2.0,32.0,6064.42869047619
GFive,1.8,950.0,3.0,32.0,64.0,751.5653333333332
SAMSUNG,6.7,5000.0,108.0,6.0,128.0,29488.64
Infinix,6.7,5000.0,60.0,4.0,64.0,9892.399333333333
REDMI,6.53,5000.0,20.0,6.0,128.0,12388.745
realme,6.6,5000.0,68.0,8.0,128.0,17188.7
Nokia,2.4,1200.0,2.0,6.0,16.0,2845.753696969697
MOTOROLA,6.5,5000.0,18.0,2.0,64.0,6821.015
itel,2.8,2500.0,3.0,8.0,8.0,1846.94
POCO,6.43,5000.0,90.0,8.0,128.0,14423.99
REDMI,6.6,5080.0,90.0,8.0,256.0,24926.158333333336
Infinix,6.6,5000.0,58.0,6.0,64.0,10649.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,12292.759595238087
APPLE,6.1,13.0,36.0,6.0,64.0,39002.14466666666
