Brand,Display,Battery,Camera_Score,RAM,ROM,Price
MarQ,2.4,3000.0,3.0,32.0,32.0,1599.0
POCO,6.6,5000.0,74.0,6.0,128.0,16999.0
REDMI,6.53,5000.0,13.0,6.0,128.0,10890.0
realme,6.72,5000.0,126.0,8.0,128.0,19999.0
REDMI,6.6,5080.0,90.0,8.0,256.0,29990.0
REDMI,6.6,5000.0,50.0,8.0,128.0,18999.0
vivo,6.51,5000.0,20.0,4.0,64.0,11999.0
MOTOROLA,6.67,4610.0,322.0,12.0,256.0,49999.0
IQOO,6.68,5000.0,50.0,4.0,64.0,14290.0
realme,6.5,5000.0,13.0,3.0,32.0,6499.0
POCO,6.67,5000.0,90.0,8.0,256.0,29999.0
REDMI,6.5,6000.0,50.0,4.0,64.0,12272.0
Kechaoda,2.4,1700.0,3.0,32.0,64.0,1260.0
Infinix,6.6,5000.0,13.0,2.0,32.0,5999.0
GFive,1.8,950.0,3.0,32.0,64.0,1399.0
SAMSUNG,6.7,5000.0,108.0,6.0,128.0,23390.0
Infinix,6.7,5000.0,60.0,4.0,64.0,9999.0
REDMI,6.53,5000.0,20.0,6.0,128.0,9499.0
realme,6.6,5000.0,68.0,8.0,128.0,17999.0
Nokia,2.4,1200.0,2.0,6.0,16.0,3799.0
MOTOROLA,6.5,5000.0,18.0,2.0,64.0,6799.0
itel,2.8,2500.0,3.0,8.0,8.0,1685.0
POCO,6.43,5000.0,90.0,8.0,128.0,13999.0
REDMI,6.6,5080.0,90.0,8.0,256.0,23999.0
Infinix,6.6,5000.0,58.0,6.0,64.0,9999.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,13490.0
APPLE,6.1,13.0,36.0,6.0,64.0,41199.0
